tempreature,humidity,water_level,Water_pump_actuator_ON
41,63,100,0
41,59,100,0
41,62,100,0
40,60,100,0
39,61,100,0
38,64,100,0
38,65,100,0
38,64,100,0
37,62,100,0
37,63,100,0
37,61,100,0
37,64,100,0
37,61,100,0
37,63,100,0
37,66,100,0
37,62,100,0
37,64,100,0
37,63,100,0
37,64,100,0
37,71,100,0
37,61,100,0
37,61,100,0
37,61,100,0
37,59,100,0
36,49,0,1
36,51,0,1
36,48,0,1
36,48,66,1
36,47,0,1
36,51,0,1
36,47,0,1
36,51,0,1
36,48,0,1
36,50,0,1
36,48,0,1
36,49,0,1
36,51,0,1
36,48,0,1
36,50,0,1
36,48,3,1
36,51,2,1
36,48,0,1
36,51,0,1
36,47,0,1
36,65,100,0
36,63,100,0
36,64,100,0
36,62,100,0
36,66,100,0
36,69,100,0
36,68,100,0
36,68,100,0
36,67,100,0
36,66,100,0
36,65,100,0
36,68,100,0
36,70,100,0
36,68,100,0
36,68,100,0
36,69,100,0
36,65,100,0
36,70,100,0
36,61,100,0
36,59,100,0
36,62,100,0
36,61,100,0
36,60,100,0
36,61,100,0
36,60,100,0
36,58,100,0
36,59,100,0
36,60,100,0
36,59,100,0
36,60,100,0
36,60,100,0
36,60,100,0
36,0,0,1
36,0,0,1
36,0,0,1
36,0,0,1
35,0,88,0
35,12,88,0
35,0,88,0
35,73,100,0
35,70,100,0
35,72,83,0
35,71,88,0
35,73,90,0
35,70,94,0
35,73,88,0
35,71,84,0
35,72,87,0
35,69,100,0
35,51,0,1
35,50,7,1
35,51,0,1
35,52,0,1
35,49,70,0
35,48,0,1
35,51,0,1
35,50,0,1
35,49,0,1
35,48,0,1
35,50,0,1
35,51,0,1
35,50,0,1
35,51,0,1
35,50,61,1
35,51,0,1
35,49,0,1
35,48,0,1
35,50,0,1
35,50,0,1
35,48,0,1
35,51,0,1
35,48,0,1
35,47,100,0
35,50,0,1
35,50,7,1
35,48,0,1
35,46,0,1
35,63,100,0
35,63,100,0
35,66,100,0
35,66,100,0
35,66,100,0
35,67,100,0
35,60,100,0
35,57,100,0
35,59,100,0
35,61,100,0
35,61,100,0
35,62,100,0
35,62,100,0
35,61,100,0
35,59,100,0
35,62,100,0
35,60,100,0
35,61,100,0
35,61,100,0
35,62,100,0
35,63,100,0
35,59,100,0
35,61,100,0
35,61,100,0
35,60,100,0
35,60,100,0
35,61,100,0
35,62,100,0
35,59,100,0
35,61,100,0
35,61,100,0
35,61,100,0
35,62,100,0
35,61,100,0
35,60,100,0
35,60,100,0
35,62,100,0
35,60,100,0
35,60,100,0
35,59,100,0
35,59,100,0
35,60,100,0
35,61,100,0
35,60,100,0
35,60,100,0
35,0,0,1
35,0,15,1
35,0,0,1
35,0,0,1
35,0,0,1
35,0,0,1
35,0,0,1
35,0,0,1
35,0,0,1
35,0,0,1
35,0,0,1
35,0,0,1
35,0,1,1
35,0,4,1
35,0,6,1
35,0,0,1
35,0,16,1
35,0,38,1
34,70,88,0
34,0,88,0
34,58,88,1
34,57,88,0
34,75,84,0
34,74,84,0
34,73,84,0
34,73,94,0
34,72,100,0
34,70,95,0
34,71,96,0
34,72,88,0
34,71,100,0
34,73,100,0
34,71,86,0
34,71,94,0
34,72,100,0
34,72,91,0
34,71,89,0
34,49,0,1
34,48,0,1
34,49,0,1
34,50,0,1
34,50,100,0
34,49,0,1
34,48,0,1
34,47,0,1
34,51,0,1
34,69,0,1
34,71,0,1
34,70,0,1
34,68,0,1
34,68,0,1
34,70,0,1
34,70,0,1
34,60,0,1
34,69,0,1
34,67,0,1
34,66,0,1
34,68,0,1
34,69,0,1
34,67,0,1
34,68,0,1
34,69,0,1
34,70,0,1
34,68,0,1
